"","tm","stn_id","ca"
"1","2017-11-01 04:00:00.0",177,9
"2","2017-11-01 05:00:00.0",177,9
"3","2017-11-01 07:00:00.0",177,7
"4","2017-11-01 11:00:00.0",177,9
"5","2017-11-01 11:00:00.0",177,6
"6","2017-11-01 14:00:00.0",177,8
"7","2017-11-01 15:00:00.0",177,8
"8","2017-11-01 21:00:00.0",177,9
"9","2017-11-02 03:00:00.0",177,9
"10","2017-11-02 05:00:00.0",177,10
"11","2017-11-02 06:00:00.0",177,10
"12","2017-11-02 08:00:00.0",177,5
"13","2017-11-02 18:00:00.0",177,1
"14","2017-11-03 02:00:00.0",177,1
"15","2017-11-03 05:00:00.0",177,3
"16","2017-11-03 08:00:00.0",177,7
"17","2017-11-03 11:00:00.0",177,10
"18","2017-11-03 12:00:00.0",177,8
"19","2017-11-03 15:00:00.0",177,1
"20","2017-11-03 16:00:00.0",177,1
"21","2017-11-03 18:00:00.0",177,4
"22","2017-11-03 21:00:00.0",177,9
"23","2017-11-04 03:00:00.0",177,9
"24","2017-11-04 04:00:00.0",177,9
"25","2017-11-04 14:00:00.0",177,3
"26","2017-11-05 08:00:00.0",177,5
"27","2017-11-05 11:00:00.0",177,1
"28","2017-11-06 08:00:00.0",177,1
"29","2017-11-07 04:00:00.0",177,6
"30","2017-11-07 07:00:00.0",177,8
"31","2017-11-07 08:00:00.0",177,4
"32","2017-11-07 10:00:00.0",177,1
"33","2017-11-07 12:00:00.0",177,5
"34","2017-11-07 13:00:00.0",177,1
"35","2017-11-07 14:00:00.0",177,8
"36","2017-11-07 15:00:00.0",177,7
"37","2017-11-07 17:00:00.0",177,4
"38","2017-11-07 18:00:00.0",177,9
"39","2017-11-07 19:00:00.0",177,9
"40","2017-11-07 21:00:00.0",177,7
"41","2017-11-08 00:00:00.0",177,10
"42","2017-11-08 04:00:00.0",177,6
"43","2017-11-08 05:00:00.0",177,8
"44","2017-11-08 10:00:00.0",177,6
"45","2017-11-08 11:00:00.0",177,7
"46","2017-11-08 12:00:00.0",177,8
"47","2017-11-09 10:00:00.0",177,1
"48","2017-11-09 11:00:00.0",177,3
"49","2017-11-10 00:00:00.0",177,1
"50","2017-11-10 06:00:00.0",177,7
"51","2017-11-10 08:00:00.0",177,8
"52","2017-11-10 09:00:00.0",177,8
"53","2017-11-10 10:00:00.0",177,10
"54","2017-11-10 10:00:00.0",177,4
"55","2017-11-10 13:00:00.0",177,6
"56","2017-11-10 14:00:00.0",177,6
"57","2017-11-10 15:00:00.0",177,9
"58","2017-11-10 18:00:00.0",177,10
"59","2017-11-11 00:00:00.0",177,4
"60","2017-11-11 03:00:00.0",177,3
"61","2017-11-11 11:00:00.0",177,1
"62","2017-11-11 12:00:00.0",177,1
"63","2017-11-11 18:00:00.0",177,1
"64","2017-11-12 08:00:00.0",177,2
"65","2017-11-12 09:00:00.0",177,2
"66","2017-11-12 10:00:00.0",177,3
"67","2017-11-12 16:00:00.0",177,2
"68","2017-11-12 17:00:00.0",177,1
"69","2017-11-13 03:00:00.0",177,4
"70","2017-11-13 09:00:00.0",177,9
"71","2017-11-13 10:00:00.0",177,10
"72","2017-11-13 12:00:00.0",177,9
"73","2017-11-13 12:00:00.0",177,5
"74","2017-11-14 11:00:00.0",177,3
"75","2017-11-14 17:00:00.0",177,1
"76","2017-11-15 04:00:00.0",177,6
"77","2017-11-15 08:00:00.0",177,2
"78","2017-11-15 10:00:00.0",177,7
"79","2017-11-15 14:00:00.0",177,5
"80","2017-11-15 15:00:00.0",177,6
